NZ_CP068161.1	43769	Corynebacterium propinquum
NC_013170.1	84163	Cryptobacterium curtum
NZ_CP017037.1	39950	Dialister pneumosintes
NZ_AP025575.1	84112	Eggerthella lenta
NZ_CP096649.1	938288	Fenollaria massiliensis
NC_016630.1	143361	Filifactor alocis
NZ_CP028108.1	860	Fusobacterium periodonticum
NZ_CP083636.1	29391	Gemella morbillorum
NZ_CP085953.1	137732	Granulicatella elegans
NZ_CP031243.1	726	Haemophilus haemolyticus
NZ_CP059569.1	505	Kingella oralis
NZ_CP083392.1	47770	Lactobacillus crispatus
NZ_CP157500.1	1358	Lactococcus lactis
NC_013203.1	1382	Lancefieldella parvula
NZ_AP019823.1	157688	Leptotrichia hofstadii
NZ_AP019846.1	554406	Leptotrichia hongkongensis
NZ_CP101528.1	1270	Micrococcus luteus
NZ_CP066057.1	478	Moraxella nonliquefaciens
NZ_LS483369.1	483	Neisseria cinerea
NZ_CP020452.2	488	Neisseria mucosa
NZ_CP039886.1	484	Neisseria flavescens
NZ_GG668534.1	237576	Oribacterium sinus
NC_014734.1	185300	Paludibacter propionicigenes
NZ_CP031971.1	33033	Parvimonas micra
NZ_CP129525.1	1255	Pediococcus pentosaceus
NZ_JAETXN010000001.1	1258	Peptoniphilus asaccharolyticus
NZ_CP165621.1	33031	Peptoniphilus lacrimalis
NC_019969.1	52227	Prevotella dentalis
NZ_CP072373.1	28129	Prevotella denticola
NZ_CP072368.1	470565	Prevotella histicola
NZ_CP016206.1	589437	Prevotella scopos
NZ_CP033719.1	556499	Propionibacterium acidifaciens
NZ_AP019822.1	157692	Pseudoleptotrichia goodfellowii
NZ_AP025585.1	638849	Pyramidobacter piscolens
NZ_CP147879.1	207340	Roseomonas mucosa
NZ_CP068102.1	172042	Rothia aeria
NZ_CP054018.1	2047	Rothia dentocariosa
NZ_JBHTKF010000001.1	230143	Scardovia wiggsiae
NZ_CP110231.1	69823	Selenomonas sputigena
NZ_CAUVOZ010000001.1	177972	Shuttleworthella satelles
NZ_CP083930.1	72	Simonsiella muelleri
NZ_CP096601.1	84109	Slackia exigua
NZ_AP028934.1	102148	Solobacterium moorei
NZ_CP073857.1	1282	Staphylococcus epidermidis
NZ_CP118053.1	1328	Streptococcus anginosus
NZ_CP185263.1	76860	Streptococcus constellatus
NZ_AP014880.1	1338	Streptococcus intermedius
NZ_CP185272.1	1318	Streptococcus parasanguinis
NZ_CP040798.1	1305	Streptococcus sanguinis
NZ_CP185269.1	1343	Streptococcus vestibularis
NC_016610.1	28112	Tannerella forsythia
NZ_CP109619.1	158	Treponema denticola
NZ_CP027017.1	58231	Treponema medium
NZ_CP020566.1	39777	Veillonella atypica
NC_004996.1	157924	Streptococcus phage SM1
NC_001825.1	10747	Streptococcus phage Cp1
ON493177.1	2986145	Prevotella phage R001
KR093625.1	1647524	Moraxella phage Mcat1
NC_001697.1	2992577	Haemophilus phage HP1
NC_076168.1	68887	Torque teno virus
NC_001457.1	10617	Human papillomavirus 4
NC_001716.2	10372	Human betaherpesvirus 7
NC_007605.1	10376	human gammaherpesvirus 4
NC_006273.2	3050295	Cytomegalovirus humanbeta5
